api	total	focus_total	excluded_total	category:common_user_or_argument_error	category:generated_code_error	category:low_signal_unclassified_exception	category:no_embedded_error_signal	category:strong_backend_failure	category:strong_backend_failure_sparse_caveat	category:tool_or_environment_limit	status:crash	status:exception	status:notarget	status:valid
torch.BFloat16Storage	1345	0	1345	199	450	484	212	0	0	0	0	1011	122	212
torch.BoolStorage	653	0	653	50	134	264	205	0	0	0	0	396	52	205
torch.ByteStorage	647	0	647	58	152	224	213	0	0	0	0	388	46	213
torch.CharStorage	497	0	497	26	83	183	205	0	0	0	0	249	42	206
torch.ComplexDoubleStorage	707	0	707	56	136	313	202	0	0	0	0	471	34	202
torch.ComplexFloatStorage	794	0	794	91	181	311	211	0	0	0	0	452	131	211
torch.DoubleStorage	652	0	652	67	154	214	217	0	0	0	0	425	10	217
torch.FloatStorage	542	0	542	34	117	176	215	0	0	0	0	267	60	215
torch.Generator	1014	0	1014	132	432	236	214	0	0	0	0	730	70	214
torch.HalfStorage	768	0	768	75	223	267	203	0	0	0	0	520	45	203
torch.IntStorage	481	0	481	56	38	176	211	0	0	0	0	236	34	211
torch.LongStorage	669	0	669	96	79	288	205	0	0	1	0	408	56	205
torch.QInt32Storage	617	0	617	32	132	246	207	0	0	0	0	386	24	207
torch.QInt8Storage	617	0	617	68	109	214	226	0	0	0	0	379	12	226
torch.QUInt4x2Storage	1124	0	1124	102	236	583	203	0	0	0	0	847	74	203
torch.QUInt8Storage	200	0	200	13	75	99	13	0	0	0	0	149	38	13
torch.ShortStorage	899	0	899	155	178	357	209	0	0	0	0	637	53	209
torch.Tensor.abs	380	0	380	47	77	34	222	0	0	0	0	137	21	222
torch.Tensor.abs_	536	0	536	72	161	88	215	0	0	0	0	195	126	215
torch.Tensor.absolute	518	0	518	69	140	105	204	0	0	0	0	259	55	204
torch.Tensor.absolute_	354	0	354	48	80	24	202	0	0	0	0	122	30	202
torch.Tensor.acos	548	0	548	87	165	96	200	0	0	0	0	283	65	200
torch.Tensor.acos_	457	0	457	51	96	107	203	0	0	0	0	161	93	203
torch.Tensor.acosh	448	0	448	35	120	75	218	0	0	0	0	175	55	218
torch.Tensor.acosh_	664	0	664	139	200	124	201	0	0	0	0	395	68	201
torch.Tensor.add	275	0	275	23	26	15	211	0	0	0	0	60	4	211
torch.Tensor.add_	410	0	410	56	113	39	202	0	0	0	0	196	12	202
torch.Tensor.addbmm_	1319	0	1319	454	134	530	201	0	0	0	0	1075	43	201
torch.Tensor.addcdiv	485	0	485	112	57	114	202	0	0	0	0	254	29	202
torch.Tensor.addcdiv_	686	0	686	156	225	104	201	0	0	0	0	393	92	201
torch.Tensor.addcmul	284	0	284	40	22	12	210	0	0	0	0	70	4	210
torch.Tensor.addcmul_	1409	0	1409	654	310	242	203	0	0	0	0	1024	182	203
torch.Tensor.addmm	603	0	603	153	74	172	204	0	0	0	0	337	62	204
torch.Tensor.addmm_	839	0	839	275	256	106	202	0	0	0	0	557	80	202
torch.Tensor.addmv	484	0	484	133	65	85	201	0	0	0	0	245	38	201
torch.Tensor.addmv_	1129	0	1129	308	265	344	212	0	0	0	0	736	181	212
torch.Tensor.addr	478	0	478	111	56	110	201	0	0	0	0	242	35	201
torch.Tensor.addr_	384	0	384	67	31	80	206	0	0	0	0	150	28	206
torch.Tensor.all	419	0	419	98	68	52	201	0	0	0	0	191	27	201
torch.Tensor.allclose	815	0	815	162	298	149	206	0	0	0	0	534	75	206
torch.Tensor.amax	508	0	508	145	90	64	209	0	0	0	0	265	34	209
torch.Tensor.amin	735	0	735	195	197	139	204	0	0	0	0	421	110	204
torch.Tensor.aminmax	750	0	750	175	213	149	213	0	0	0	0	423	114	213
torch.Tensor.angle	358	0	358	21	82	32	223	0	0	0	0	103	32	223
torch.Tensor.any	461	0	461	84	113	53	211	0	0	0	0	224	26	211
torch.Tensor.apply_	936	0	936	318	266	148	204	0	0	0	0	416	316	204
torch.Tensor.arccos	439	0	439	65	66	88	220	0	0	0	0	211	8	220
torch.Tensor.arccos_	414	0	414	54	108	49	203	0	0	0	0	189	22	203
torch.Tensor.arccosh	349	0	349	56	74	129	90	0	0	0	0	245	14	90
torch.Tensor.arccosh_	513	0	513	160	105	47	201	0	0	0	0	265	47	201
torch.Tensor.arcsin	480	0	480	62	154	47	217	0	0	0	0	208	55	217
torch.Tensor.arcsin_	568	0	568	92	134	135	207	0	0	0	0	246	115	207
torch.Tensor.arcsinh	500	0	500	38	68	184	210	0	0	0	0	137	153	210
torch.Tensor.arcsinh_	603	0	603	133	114	146	210	0	0	0	0	268	125	210
torch.Tensor.arctan	469	0	469	77	136	52	204	0	0	0	0	246	19	204
torch.Tensor.arctan_	507	0	507	71	122	99	215	0	0	0	0	226	66	215
torch.Tensor.arctanh	408	0	408	37	72	75	224	0	0	0	0	131	53	224
torch.Tensor.arctanh_	453	0	453	48	141	58	206	0	0	0	0	207	40	206
torch.Tensor.argmax	345	0	345	45	57	41	202	0	0	0	0	121	22	202
torch.Tensor.argmin	612	0	612	71	131	199	211	0	0	0	0	364	37	211
torch.Tensor.argsort	415	0	415	65	57	90	203	0	0	0	0	168	44	203
torch.Tensor.as_strided	594	0	594	132	169	83	210	0	0	0	0	335	49	210
torch.Tensor.as_subclass	785	0	785	89	405	89	202	0	0	0	0	523	60	202
torch.Tensor.asin	395	0	395	50	77	41	227	0	0	0	0	150	18	227
torch.Tensor.asin_	532	0	532	114	113	104	201	0	0	0	0	240	91	201
torch.Tensor.asinh	273	0	273	14	34	23	202	0	0	0	0	61	10	202
torch.Tensor.asinh_	323	0	323	22	57	31	213	0	0	0	0	80	30	213
torch.Tensor.atan	405	0	405	51	110	44	200	0	0	0	0	163	42	200
torch.Tensor.atan2	415	0	415	53	84	74	204	0	0	0	0	172	39	204
torch.Tensor.atan2_	296	0	296	33	33	27	203	0	0	0	0	83	10	203
torch.Tensor.atan_	749	0	749	192	156	193	208	0	0	0	0	343	198	208
torch.Tensor.atanh	608	0	608	100	223	83	202	0	0	0	0	325	81	202
torch.Tensor.atanh_	693	0	693	77	121	285	210	0	0	0	0	435	48	210
torch.Tensor.baddbmm_	651	0	651	330	50	70	201	0	0	0	0	413	37	201
torch.Tensor.bernoulli	584	0	584	103	223	54	204	0	0	0	0	342	38	204
torch.Tensor.bernoulli_	683	0	683	147	202	133	201	0	0	0	0	379	103	201
torch.Tensor.bfloat16	428	0	428	94	56	59	219	0	0	0	0	162	47	219
torch.Tensor.bincount	665	0	665	235	128	101	201	0	0	0	0	428	36	201
torch.Tensor.bitwise_and	521	0	521	102	157	50	212	0	0	0	0	265	44	212
torch.Tensor.bitwise_and_	736	0	736	180	79	277	200	0	0	0	0	504	32	200
torch.Tensor.bitwise_left_shift	344	0	344	57	42	42	203	0	0	0	0	109	32	203
torch.Tensor.bitwise_left_shift_	707	0	707	192	201	113	201	0	0	0	0	417	89	201
torch.Tensor.bitwise_not	466	0	466	81	122	60	203	0	0	0	0	236	27	203
torch.Tensor.bitwise_not_	813	0	813	249	283	79	202	0	0	0	0	530	81	202
torch.Tensor.bitwise_or	302	0	302	59	85	67	91	0	0	0	0	186	25	91
torch.Tensor.bitwise_or_	383	0	383	52	81	29	221	0	0	0	0	155	7	221
torch.Tensor.bitwise_right_shift	531	0	531	109	128	91	203	0	0	0	0	281	47	203
torch.Tensor.bitwise_right_shift_	959	0	959	274	143	342	200	0	0	0	0	698	61	200
torch.Tensor.bitwise_xor	768	0	768	242	212	108	206	0	0	0	0	499	63	206
torch.Tensor.bitwise_xor_	834	0	834	277	229	127	201	0	0	0	0	569	64	201
torch.Tensor.bmm	526	0	526	170	31	118	207	0	0	0	0	294	25	207
torch.Tensor.bool	388	0	388	89	22	71	206	0	0	0	0	162	20	206
torch.Tensor.broadcast_to	649	0	649	139	161	130	219	0	0	0	0	391	39	219
torch.Tensor.byte	369	0	369	53	51	41	224	0	0	0	0	122	23	224
torch.Tensor.cauchy_	452	0	452	123	62	66	201	0	0	0	0	188	63	201
torch.Tensor.ceil	320	0	320	32	60	25	203	0	0	0	0	98	19	203
torch.Tensor.ceil_	646	0	646	150	235	61	200	0	0	0	0	387	59	200
torch.Tensor.char	593	0	593	98	245	39	211	0	0	0	0	332	50	211
torch.Tensor.cholesky	470	0	470	73	98	89	210	0	0	0	0	222	38	210
torch.Tensor.cholesky_inverse	645	0	645	157	128	144	216	0	0	0	0	399	30	216
torch.Tensor.cholesky_solve	942	0	942	238	267	237	200	0	0	0	0	723	19	200
