api	total	focus	excluded	catches	categories
torch.BFloat16Storage	8	0	8	ExceptMsgCatch:7;VarInconsistentCatch:1	exception_message_difference_low_value:7;device_or_metadata_semantics:1
torch.BoolStorage	5	0	5	GpuExecFail:4;ExceptMsgCatch:1	gpu_exec_regular_exception:4;exception_message_difference_low_value:1
torch.ByteStorage	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.CharStorage	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.ComplexDoubleStorage	41	0	41	GpuExecFail:26;ExceptMsgCatch:15	gpu_exec_regular_exception:26;exception_message_difference_low_value:14;generated_code_error:1
torch.ComplexFloatStorage	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.DoubleStorage	6	0	6	ExceptMsgCatch:3;GpuExecFail:3	exception_message_difference_low_value:3;gpu_exec_regular_exception:3
torch.FloatStorage	8	0	8	ExceptMsgCatch:6;GpuExecFail:2	exception_message_difference_low_value:6;gpu_exec_regular_exception:2
torch.Generator	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.HalfStorage	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.IntStorage	5	0	5	GpuExecFail:5	gpu_exec_regular_exception:5
torch.LongStorage	2	1	1	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_or_cuda_assert_mismatch:1
torch.QInt32Storage	11	0	11	ExceptMsgCatch:9;GpuExecFail:2	generated_code_error:5;exception_message_difference_low_value:4;gpu_exec_regular_exception:2
torch.QInt8Storage	5	0	5	GpuExecFail:4;ExceptMsgCatch:1	gpu_exec_regular_exception:4;exception_message_difference_low_value:1
torch.QUInt4x2Storage	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.ShortStorage	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.Tensor.abs	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.Tensor.abs_	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.Tensor.absolute	8	0	8	GpuExecFail:8	gpu_exec_regular_exception:8
torch.Tensor.acos	6	0	6	ExceptMsgCatch:4;GpuExecFail:2	exception_message_difference_low_value:4;gpu_exec_regular_exception:2
torch.Tensor.acos_	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.Tensor.acosh	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:6
torch.Tensor.acosh_	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:4
torch.Tensor.add	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.add_	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.Tensor.addbmm_	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.addcdiv	4	0	4	VarInconsistentCatch:2;ExceptMsgCatch:2	alias_or_mutation_semantics:2;exception_message_difference_low_value:2
torch.Tensor.addcdiv_	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.Tensor.addcmul_	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.Tensor.addmm	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.addmm_	27	23	4	VarInconsistentCatch:23;ExceptMsgCatch:3;GpuExecFail:1	numeric_consistency_check_needed:23;exception_message_difference_low_value:3;gpu_exec_regular_exception:1
torch.Tensor.addmv	3	0	3	ExceptMsgCatch:2;VarInconsistentCatch:1	exception_message_difference_low_value:2;alias_or_mutation_semantics:1
torch.Tensor.addmv_	5	0	5	ExceptMsgCatch:3;GpuExecFail:2	exception_message_difference_low_value:3;gpu_exec_regular_exception:2
torch.Tensor.addr	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	generated_code_error:1;gpu_exec_regular_exception:1
torch.Tensor.all	1	0	1	VarInconsistentCatch:1	uninitialized_or_lazy_state:1
torch.Tensor.allclose	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.amax	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.amin	58	0	58	VarInconsistentCatch:51;ExceptMsgCatch:5;ComparisonFail:2	alias_or_mutation_semantics:52;exception_message_difference_low_value:5;generated_code_error:1
torch.Tensor.angle	1	0	1	VarInconsistentCatch:1	nan_inf_or_boundary_numeric:1
torch.Tensor.apply_	232	0	232	GpuExecFail:220;ExceptMsgCatch:12	gpu_exec_regular_exception:210;exception_message_difference_low_value:11;generated_code_error:11
torch.Tensor.arccos	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:6
torch.Tensor.arccos_	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.Tensor.arccosh	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.Tensor.arcsin_	193	1	192	GpuExecFail:120;ExceptMsgCatch:72;VarInconsistentCatch:1	gpu_exec_regular_exception:120;exception_message_difference_low_value:62;generated_code_error:10;logic_inconsistency_needs_review:1
torch.Tensor.arcsinh	63	0	63	GpuExecFail:53;ExceptMsgCatch:10	gpu_exec_regular_exception:53;exception_message_difference_low_value:9;generated_code_error:1
torch.Tensor.arctanh_	17	0	17	ExceptMsgCatch:12;GpuExecFail:5	exception_message_difference_low_value:10;gpu_exec_regular_exception:5;generated_code_error:2
torch.Tensor.argmax	4	0	4	GpuExecFail:2;VarInconsistentCatch:2	gpu_exec_regular_exception:2;alias_or_mutation_semantics:2
torch.Tensor.argsort	16	15	1	VarInconsistentCatch:16	logic_inconsistency_needs_review:15;alias_or_mutation_semantics:1
torch.Tensor.as_strided	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.Tensor.asin	3	0	3	GpuExecFail:3	gpu_exec_regular_exception:3
